model_id,batch_index,status,loop_start_utc,loop_end_utc,loop_duration_seconds,iterations_completed,tokens_used_total,final_iteration_success,reason
101,4,ok,2026-02-20T16:13:01.203164Z,2026-02-20T16:13:08.214590Z,7.011330499997712,1,603,True,
100,4,ok,2026-02-20T16:13:00.356438Z,2026-02-20T16:13:21.182476Z,20.82568125000398,4,7282,True,
103,4,ok,2026-02-20T16:13:21.209240Z,2026-02-20T16:13:32.333655Z,11.124252499997965,1,1017,True,
104,4,ok,2026-02-20T16:13:32.344840Z,2026-02-20T16:13:50.532613Z,18.187459207998472,2,2085,True,
94,4,ok,2026-02-20T16:13:39.699198Z,2026-02-20T16:14:02.332431Z,22.63298541700351,3,4482,True,
99,4,ok,2026-02-20T16:13:26.660305Z,2026-02-20T16:14:05.186188Z,38.52519354199467,3,5809,True,
106,4,ok,2026-02-20T16:14:02.350224Z,2026-02-20T16:14:09.357642Z,7.0073050830105785,1,572,True,
105,4,ok,2026-02-20T16:13:50.546618Z,2026-02-20T16:14:19.305033Z,28.757907582999906,2,2688,True,
109,4,ok,2026-02-20T16:14:19.313136Z,2026-02-20T16:14:25.964489Z,6.651246542009176,1,524,True,
102,4,ok,2026-02-20T16:14:06.672794Z,2026-02-20T16:14:39.323027Z,32.64978700000211,3,5803,True,
111,4,ok,2026-02-20T16:14:39.346542Z,2026-02-20T16:14:47.247090Z,7.900441999998293,1,596,True,
110,4,ok,2026-02-20T16:14:48.844408Z,2026-02-20T16:15:00.265643Z,11.42102516599698,2,1706,True,
112,4,ok,2026-02-20T16:14:47.268049Z,2026-02-20T16:15:04.167360Z,16.899039290990913,2,2297,True,
113,4,ok,2026-02-20T16:15:00.294514Z,2026-02-20T16:15:15.370227Z,15.075506749999477,2,2020,True,
114,4,ok,2026-02-20T16:15:04.199660Z,2026-02-20T16:15:20.761835Z,16.561922708002385,3,3055,True,
115,4,ok,2026-02-20T16:15:15.392595Z,2026-02-20T16:15:23.690796Z,8.298096458005602,1,899,True,
117,4,ok,2026-02-20T16:15:23.705954Z,2026-02-20T16:15:40.224361Z,16.51812408299884,2,3439,True,
118,4,ok,2026-02-20T16:15:40.263550Z,2026-02-20T16:15:50.470856Z,10.207133333009551,1,892,True,
119,4,ok,2026-02-20T16:15:50.487410Z,2026-02-20T16:15:57.671834Z,7.184317000006558,1,630,True,
108,4,ok,2026-02-20T16:16:09.232657Z,2026-02-20T16:16:29.003242Z,19.770237834003638,3,3000,True,
107,4,failed,2026-02-20T16:16:20.208777Z,2026-02-20T16:16:43.509252Z,23.300069874996552,5,4971,False,no iteration passed syside validation
120,4,ok,2026-02-20T16:16:47.848288Z,2026-02-20T16:17:09.552274Z,21.703604374997667,4,6681,True,
116,4,ok,2026-02-20T16:17:14.607743Z,2026-02-20T16:17:30.159405Z,15.551404666999588,3,3225,True,
124,5,ok,2026-02-20T16:17:30.185004Z,2026-02-20T16:17:40.574239Z,10.38910849999229,2,1935,True,
122,5,ok,2026-02-20T16:17:30.187856Z,2026-02-20T16:17:41.520875Z,11.33280679199379,2,2740,True,
123,5,ok,2026-02-20T16:17:30.182341Z,2026-02-20T16:17:49.334076Z,19.151405333002913,2,3390,True,
125,5,ok,2026-02-20T16:17:40.596875Z,2026-02-20T16:17:50.637650Z,10.04051870800322,1,897,True,
126,5,ok,2026-02-20T16:17:41.533506Z,2026-02-20T16:17:52.273734Z,10.74004866600444,3,2063,True,
128,5,ok,2026-02-20T16:17:50.650420Z,2026-02-20T16:17:56.506760Z,5.856440540999756,1,477,True,
121,5,ok,2026-02-20T16:17:30.180105Z,2026-02-20T16:17:59.864732Z,29.684096874989336,4,6911,True,
127,5,ok,2026-02-20T16:17:49.345884Z,2026-02-20T16:18:02.548321Z,13.20223412499763,2,2689,True,
130,5,ok,2026-02-20T16:17:56.522585Z,2026-02-20T16:18:04.988470Z,8.465755000011995,1,759,True,
132,5,ok,2026-02-20T16:18:02.562093Z,2026-02-20T16:18:08.848970Z,6.286785417003557,1,498,True,
131,5,ok,2026-02-20T16:17:59.904117Z,2026-02-20T16:18:12.813787Z,12.909459041999071,1,582,True,
129,5,ok,2026-02-20T16:17:52.298207Z,2026-02-20T16:18:14.387749Z,22.089701291988604,3,5129,True,
133,5,ok,2026-02-20T16:18:05.009940Z,2026-02-20T16:18:17.485288Z,12.4751430000033,2,1648,True,
136,5,ok,2026-02-20T16:18:14.463402Z,2026-02-20T16:18:20.604830Z,6.141343458002666,1,481,True,
134,5,ok,2026-02-20T16:18:08.864759Z,2026-02-20T16:18:24.758887Z,15.893879832990933,3,2748,True,
137,5,ok,2026-02-20T16:18:17.530084Z,2026-02-20T16:18:25.977353Z,8.447127999999793,1,773,True,
135,5,ok,2026-02-20T16:18:12.829515Z,2026-02-20T16:18:27.767211Z,14.937448541997583,2,2850,True,
138,5,ok,2026-02-20T16:18:20.621688Z,2026-02-20T16:18:32.640254Z,12.018367292010225,2,2615,True,
142,5,ok,2026-02-20T16:18:32.660903Z,2026-02-20T16:18:43.926351Z,11.265261958003975,2,1556,True,
140,5,ok,2026-02-20T16:18:25.992197Z,2026-02-20T16:18:45.489286Z,19.49692508399312,1,1418,True,
144,5,ok,2026-02-20T16:18:45.518105Z,2026-02-20T16:18:59.663691Z,14.145403582995641,3,3977,True,
145,5,ok,2026-02-20T16:18:59.684681Z,2026-02-20T16:19:13.143461Z,13.458545417001005,3,2709,True,
146,5,ok,2026-02-20T16:19:13.180051Z,2026-02-20T16:19:28.347695Z,15.167392542003654,2,2321,True,
139,5,ok,2026-02-20T16:19:03.407357Z,2026-02-20T16:19:28.978469Z,25.570645959000103,3,5276,True,
147,5,ok,2026-02-20T16:19:28.368068Z,2026-02-20T16:19:45.112820Z,16.744513207988348,2,3382,True,
149,5,ok,2026-02-20T16:19:45.131478Z,2026-02-20T16:20:06.677087Z,21.54524091699568,3,4399,True,
150,5,ok,2026-02-20T16:20:06.698049Z,2026-02-20T16:20:20.557634Z,13.859348583006067,2,2853,True,
148,5,ok,2026-02-20T16:20:42.191917Z,2026-02-20T16:21:03.786380Z,21.594083250005497,4,6134,True,
143,5,failed,2026-02-20T16:21:09.354635Z,2026-02-20T16:21:28.521993Z,19.16700208299153,5,4482,False,no iteration passed syside validation
141,5,ok,2026-02-20T16:23:46.120873Z,2026-02-20T16:24:03.300947Z,17.179783667001175,2,2485,True,
151,6,ok,2026-02-20T16:24:03.326555Z,2026-02-20T16:24:22.968544Z,19.641655583007378,3,4974,True,
